Date_NA,Time GMT,Site 1 EC Inv,Site 1 IE Inv,Date,Rainfall_last_24h,Rainfall_last_48h,Rainfall_last_72h,Tide Astronomical (MaOD),Average Discharge_last_24h,Average Discharge_last_48h,Average Discharge_last_72h,Average UV_last_24h,Average UV_last_48h,Average UV_last_72h,Average WindSpeed_last_24h,Average WindSpeed_last_48h,Average WindSpeed_last_72h
2023-06-20,13:00:00,10,18,2023-06-20 13:00:00,6.799999999999999,31.999999999999993,32.0,-1.66,116.95602364583334,151.1598630729167,123.2084029513889,1.4583333333333333,1.8541666666666667,1.8888888888888888,2.513333333333333,3.153541666666667,3.442222222222222
2023-06-28,09:45:00,8,2,2023-06-28 09:45:00,2.0,2.2,7.2,1.03,93.8725107291667,89.19448989583334,101.05785791666663,1.9583333333333333,1.8125,2.0,3.544583333333333,3.6764583333333327,4.219722222222222
2023-07-11,07:00:00,80,340,2023-07-11 07:00:00,3.6,5.800000000000001,8.0,-0.09,116.74942937499993,108.01316703124998,106.09082326388881,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,07:30:00,85,310,2023-07-11 07:30:00,3.6000000000000005,5.800000000000001,8.0,0.31,122.29777999999995,111.03569390624996,108.07800236111102,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,08:00:00,20,26,2023-07-11 08:00:00,4.0,6.2,8.4,0.71,126.23150260416661,113.32947822916664,109.53063510416659,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,08:30:00,42,145,2023-07-11 08:30:00,4.0,6.2,8.4,1.1,130.72161145833326,116.23662046874999,111.29253951388881,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,09:00:00,26,48,2023-07-11 09:00:00,4.0,6.2,8.4,1.46,132.41172083333328,117.56299380208331,111.96836350694437,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,09:30:00,41,68,2023-07-11 09:30:00,4.0,6.2,8.4,1.76,133.0567758333333,118.6432134375,112.48338177083326,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,10:00:00,49,164,2023-07-11 10:00:00,4.0,6.2,8.4,1.98,133.79194041666662,119.61958687499998,112.8661655902777,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,10:30:00,28,34,2023-07-11 10:30:00,4.0,6.2,8.4,2.09,134.29413822916663,119.9470592708333,113.00059774305548,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,11:00:00,20,18,2023-07-11 11:00:00,4.0,6.2,8.4,2.09,134.20952281249996,120.02563062499996,112.99473684027768,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,11:30:00,17,23,2023-07-11 11:30:00,4.0,6.2,7.8,1.99,134.13479760416666,119.73167453124996,113.14931552083323,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,12:00:00,45,73,2023-07-11 12:00:00,4.0,6.2,7.8,1.81,133.92930302083334,119.92123484374999,112.98924225694435,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,12:30:00,56,76,2023-07-11 12:30:00,4.0,6.2,7.8,1.55,133.90183052083333,119.95969640625002,112.26543284722214,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,13:00:00,46,40,2023-07-11 13:00:00,4.0,6.2,6.6,1.22,133.45457770833335,119.7585975,110.91781395833328,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,13:30:00,86,64,2023-07-11 13:30:00,4.0,6.2,6.4,0.84,133.44248989583335,119.96958645833332,109.90792402777772,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,14:00:00,37,60,2023-07-11 14:00:00,4.0,6.2,6.4,0.4,133.1336986458333,120.03442156250001,108.51231986111105,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,14:30:00,43,109,2023-07-11 14:30:00,4.0,6.2,6.400000000000001,-0.06,132.29523729166664,119.65914697916668,106.9515143055555,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,15:00:00,36,29,2023-07-11 15:00:00,4.0,6.2,6.4,-0.5,131.8369955208333,119.56574036458333,105.39803465277771,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,15:30:00,27,40,2023-07-11 15:30:00,4.0,6.2,6.400000000000001,-0.9,131.88974281249997,119.73771838541666,104.75261357638882,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-07-11,16:00:00,11,42,2023-07-11 16:00:00,4.0,6.2,6.4,-1.22,131.69853395833331,119.70420182291666,104.56909708333328,2.0416666666666665,2.0208333333333335,1.9583333333333333,5.117500000000001,4.763958333333334,4.242083333333333
2023-08-03,07:00:00,470,360,2023-08-03 07:00:00,38.0,40.2,44.2,2.11,286.36807937500004,200.4477654166666,179.93586437499997,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,07:30:00,520,360,2023-08-03 07:30:00,37.2,40.2,44.2,1.66,283.69994781249994,201.52743541666663,180.3757909375,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,08:00:00,550,240,2023-08-03 08:00:00,34.6,40.400000000000006,44.400000000000006,1.1,281.28786041666666,202.7257867708333,181.0757907986111,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,08:30:00,330,190,2023-08-03 08:30:00,33.6,40.400000000000006,44.400000000000006,0.46,281.21423406249994,203.98457776041664,181.8094903125,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,09:00:00,540,200,2023-08-03 09:00:00,33.2,40.400000000000006,44.400000000000006,-0.23,278.6977506249999,204.6136985416667,182.3864132638889,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,09:30:00,340,260,2023-08-03 09:30:00,32.8,40.4,44.4,-0.93,276.72522364583324,205.54501713541666,183.01022274305555,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,10:00:00,160,150,2023-08-03 10:00:00,32.2,40.400000000000006,44.400000000000006,-1.57,275.2054435416666,206.95710473958334,183.6072921875,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,10:30:00,290,230,2023-08-03 10:30:00,31.200000000000003,40.400000000000006,44.400000000000006,-2.07,273.19555364583323,207.97358807291673,184.15637635416664,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,11:00:00,130,140,2023-08-03 11:00:00,29.6,40.400000000000006,43.4,-2.4,271.2197296874999,208.6120494791667,184.87579013888887,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,11:30:00,170,250,2023-08-03 11:30:00,25.400000000000002,40.400000000000006,43.4,-2.58,269.4065432291666,209.43128026041668,185.5442882986111,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,12:00:00,350,220,2023-08-03 12:00:00,20.6,40.400000000000006,43.400000000000006,-2.61,267.2537966666666,210.28787354166664,186.12670576388888,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,12:30:00,590,290,2023-08-03 12:30:00,17.0,40.4,43.4,-2.48,266.57357697916655,210.99776348958332,186.68311590277776,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,13:00:00,540,320,2023-08-03 13:00:00,16.4,40.4,43.4,-2.2,263.8735778124999,211.61589531250002,187.2160828819444,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,13:30:00,550,220,2023-08-03 13:30:00,15.0,40.4,43.4,-1.77,261.62742458333327,212.38182921874997,187.7966688541666,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,14:00:00,270,180,2023-08-03 14:00:00,8.4,40.4,43.4,-1.23,258.49116125,212.97029067708328,188.31901305555547,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,14:30:00,320,170,2023-08-03 14:30:00,4.6,40.400000000000006,43.4,-0.59,255.46368927083324,213.57798291666663,188.84025847222216,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,15:00:00,230,160,2023-08-03 15:00:00,3.6,40.4,43.4,0.12,253.5384148958333,214.28127937499994,189.4461191666666,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,15:30:00,140,81,2023-08-03 15:30:00,2.5999999999999996,40.4,42.400000000000006,0.84,250.89116249999995,214.7939166145833,189.6314670833333,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-03,16:00:00,330,300,2023-08-03 16:00:00,2.2,40.2,42.0,1.51,247.91424020833333,215.59721322916664,190.1519798263888,1.9166666666666667,1.4583333333333333,1.5138888888888888,5.9504166666666665,6.5218750000000005,5.56625
2023-08-09,07:00:00,36,18,2023-08-09 07:00:00,0.0,0.0,0.0,0.39,119.68679093749996,121.58404354166676,132.14100138888892,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,07:30:00,27,10,2023-08-09 07:30:00,0.0,0.0,0.0,0.78,119.85602166666665,121.57635125000013,131.0025400347223,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,08:00:00,18,97,2023-08-09 08:00:00,0.0,0.0,0.0,1.15,119.96810947916663,121.4389885416668,129.56371253472224,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,08:30:00,45,210,2023-08-09 08:30:00,0.0,0.0,0.0,1.48,119.47360406249994,121.09668088541683,128.20034281250003,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,09:00:00,10,10,2023-08-09 09:00:00,0.0,0.0,0.0,1.76,119.16481302083328,120.71865906250015,127.23587416666669,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,09:30:00,10,63,2023-08-09 09:30:00,0.0,0.0,0.0,1.94,118.70437333333331,120.56261515625016,126.86078263888892,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,10:00:00,10,63,2023-08-09 10:00:00,0.0,0.0,0.0,2.02,118.77250531249996,120.50767015625019,126.52378638888892,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,10:30:00,27,27,2023-08-09 10:30:00,0.0,0.0,0.0,1.99,118.59887906249999,120.27635161458348,126.24136885416675,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,11:00:00,10,10,2023-08-09 11:00:00,0.0,0.0,0.0,1.89,119.24942843749996,120.3911868750002,125.98459232638895,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,11:30:00,10,45,2023-08-09 11:30:00,0.0,0.0,0.0,1.71,119.07909895833329,120.35876932291688,125.6985118055556,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,12:00:00,18,18,2023-08-09 12:00:00,0.0,0.0,0.0,1.45,118.95712083333326,120.29228572916685,125.5201235069445,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,12:30:00,10,10,2023-08-09 12:30:00,0.0,0.0,0.0,1.14,118.70437374999993,120.0461318750002,125.21792569444445,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,13:00:00,10,18,2023-08-09 13:00:00,0.0,0.0,0.0,0.76,118.7252526041666,119.89228572916686,125.07323697916665,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,13:30:00,10,18,2023-08-09 13:30:00,0.0,0.0,0.0,0.36,118.51096677083329,119.80217578125017,124.90070951388887,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,14:00:00,18,27,2023-08-09 14:00:00,0.0,0.0,0.0,-0.07,118.41756031249999,119.61810979166684,124.69045315972221,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
