Date_NA,Time GMT,Site 1 EC Inv,Site 1 IE Inv,Date,Rainfall_last_24h,Rainfall_last_48h,Rainfall_last_72h,Tide Astronomical (MaOD),Average Discharge_last_24h,Average Discharge_last_48h,Average Discharge_last_72h,Average UV_last_24h,Average UV_last_48h,Average UV_last_72h,Average WindSpeed_last_24h,Average WindSpeed_last_48h,Average WindSpeed_last_72h
2023-08-09,14:30:00,54,45,2023-08-09 14:30:00,0.0,0.0,0.0,-0.47,118.73734052083336,119.79887901041684,124.4633469791667,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,15:00:00,27,130,2023-08-09 15:00:00,0.0,0.0,0.0,-0.81,118.69778010416668,119.76316473958349,124.24246788194449,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,15:30:00,36,140,2023-08-09 15:30:00,0.0,0.0,0.0,-1.06,118.4527251041667,119.60712078125012,123.94100267361114,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-09,16:00:00,18,81,2023-08-09 16:00:00,0.0,0.0,0.0,-1.23,118.35931864583335,119.51536255208343,123.56188187500005,1.9166666666666667,1.8958333333333333,1.8472222222222223,4.0525,4.0441666666666665,3.8747222222222226
2023-08-22,07:00:00,81,280,2023-08-22 07:00:00,0.0,0.0,0.2,2.25,97.87470843749999,94.50822499999998,96.10914041666662,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,07:30:00,81,180,2023-08-22 07:30:00,0.0,0.0,0.2,2.34,97.98020302083332,94.6104228125,95.98459836805552,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,08:00:00,45,140,2023-08-22 08:00:00,0.0,0.0,0.2,2.29,98.05822500000001,94.62031296875001,95.85602701388885,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,08:30:00,260,240,2023-08-22 08:30:00,0.0,0.0,0.2,2.13,98.50437875000004,94.9054777604167,95.89851784722218,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,09:00:00,63,280,2023-08-22 09:00:00,0.0,0.0,0.2,1.88,98.42306010416667,95.35492828125003,95.89412229166662,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,09:30:00,150,260,2023-08-22 09:30:00,0.0,0.0,0.0,1.57,98.58130166666668,95.59503807291672,95.98020281249995,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,10:00:00,81,120,2023-08-22 10:00:00,0.0,0.0,0.0,1.21,98.26701614583335,95.63514796875008,95.88752885416662,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,10:30:00,45,63,2023-08-22 10:30:00,0.0,0.0,0.0,0.78,98.30218093750001,95.65602713541672,95.77067906249994,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,11:00:00,36,220,2023-08-22 11:00:00,0.0,0.0,0.0,0.29,97.94174125000002,95.4192139583334,95.39338965277771,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,11:30:00,18,90,2023-08-22 11:30:00,0.0,0.0,0.0,-0.22,97.76481812500003,94.9867965104167,95.2193969444444,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,12:00:00,10,10,2023-08-22 12:00:00,0.0,0.0,0.0,-0.73,97.21207114583335,94.71866479166668,94.9560271180555,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,12:30:00,18,54,2023-08-22 12:30:00,0.0,0.0,0.0,-1.18,97.20218125000002,94.59613744791666,94.81500159722215,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,13:00:00,10,27,2023-08-22 13:00:00,0.0,0.0,0.0,-1.53,97.19778572916668,94.61976380208331,94.74906753472214,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,13:30:00,10,45,2023-08-22 13:30:00,0.0,0.0,0.0,-1.73,97.43844510416669,94.53350010416665,94.71500159722214,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,14:00:00,18,110,2023-08-22 14:00:00,0.0,0.0,0.0,-1.81,97.77031312500002,94.72580776041667,94.67031295138881,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,14:30:00,10,170,2023-08-22 14:30:00,0.0,0.0,0.0,-1.76,97.48020333333331,94.59943421875,94.67617374999993,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,15:00:00,10,63,2023-08-22 15:00:00,0.0,0.0,0.0,-1.57,97.34943416666664,94.6637199479167,94.78533121527772,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,15:30:00,10,260,2023-08-22 15:30:00,0.0,0.0,0.0,-1.26,97.2900936458333,94.59064307291668,94.66298690972218,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-08-22,16:00:00,36,81,2023-08-22 16:00:00,0.0,0.0,0.0,-0.87,96.64174197916661,94.37745619791667,94.55785871527775,1.7083333333333333,1.7708333333333333,1.7083333333333333,5.12625,4.625833333333333,4.280972222222222
2023-09-07,07:00:00,27,10,2023-09-07 07:00:00,0.0,0.2,0.2,0.73,81.29339197916669,82.64613906250003,83.23771375000004,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,07:30:00,10,18,2023-09-07 07:30:00,0.0,0.2,0.2,1.07,81.80108427083334,83.00493015625001,83.47031444444447,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,08:00:00,10,27,2023-09-07 08:00:00,0.0,0.2,0.2,1.37,81.74394145833334,83.03569942708334,83.39449031250005,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,08:30:00,18,10,2023-09-07 08:30:00,0.0,0.2,0.2,1.61,81.75712833333334,83.05383130208335,83.35492993055557,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,09:00:00,10,27,2023-09-07 09:00:00,0.0,0.2,0.2,1.78,82.04833697916668,83.35163343750001,83.57580902777781,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,09:30:00,10,10,2023-09-07 09:30:00,0.0,0.2,0.2,1.84,82.36701822916669,83.53734770833336,83.72489322916672,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,10:00:00,10,10,2023-09-07 10:00:00,0.0,0.2,0.2,1.8,82.63515010416667,83.65493010416668,83.64101048611116,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,10:30:00,45,54,2023-09-07 10:30:00,0.0,0.2,0.2,1.7,82.57690833333332,83.71262234375003,83.52416069444452,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,11:00:00,120,45,2023-09-07 11:00:00,0.0,0.2,0.2,1.53,82.13954583333332,83.46152348958334,83.3827688194445,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,11:30:00,27,36,2023-09-07 11:30:00,0.0,0.2,0.2,1.3,82.03624927083335,83.20547958333334,83.36958201388896,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,12:00:00,18,10,2023-09-07 12:00:00,0.0,0.2,0.2,1.01,81.42086489583333,82.88130385416667,83.17361138888894,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,12:30:00,10,10,2023-09-07 12:30:00,0.0,0.2,0.2,0.68,81.09009572916668,82.34668864583334,83.07873965277784,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,13:00:00,10,10,2023-09-07 13:00:00,0.0,0.2,0.2,0.32,81.04833750000002,82.19064473958332,83.04540628472228,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,13:30:00,10,10,2023-09-07 13:30:00,0.0,0.2,0.2,-0.04,81.01317260416666,82.10328213541665,82.92196309027783,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,14:00:00,10,10,2023-09-07 14:00:00,0.0,0.2,0.2,-0.38,80.25273322916667,81.89064473958332,82.79375798611117,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,14:30:00,10,10,2023-09-07 14:30:00,0.0,0.2,0.2,-0.65,80.1318540625,81.69613932291666,82.8417433680556,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,15:00:00,10,36,2023-09-07 15:00:00,0.0,0.2,0.2,-0.85,80.15493104166666,81.58515036458333,82.63258586805563,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,15:30:00,81,140,2023-09-07 15:30:00,0.0,0.2,0.2,-0.95,80.48020572916666,81.57965583333332,82.69265913194451,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-07,16:00:00,27,90,2023-09-07 16:00:00,0.0,0.2,0.2,-0.97,80.16262333333334,81.63954593749999,82.77434413194452,1.2083333333333333,1.25,1.2916666666666667,2.3645833333333335,2.1977083333333334,2.5187499999999994
2023-09-18,07:00:00,240,580,2023-09-18 07:00:00,19.0,19.6,19.799999999999997,2.46,103.91096989583332,95.97141135416668,94.86115517361112,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,07:30:00,18,45,2023-09-18 07:30:00,19.6,20.200000000000003,20.4,2.16,109.83294697916665,98.80218010416667,96.59485451388892,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,08:00:00,72,140,2023-09-18 08:00:00,20.200000000000003,20.800000000000004,21.0,1.8,116.19008874999999,101.88569604166666,98.41097142361113,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,08:30:00,36,81,2023-09-18 08:30:00,20.200000000000003,20.800000000000004,21.0,1.36,119.78621305263155,103.5696264921466,99.23061369337984,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,09:00:00,27,36,2023-09-18 09:00:00,20.200000000000003,20.800000000000004,21.0,0.85,121.11674505376342,103.95114137566138,99.24662196491234,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,09:30:00,10,18,2023-09-18 09:30:00,20.200000000000003,20.800000000000004,21.0,0.27,122.11740318681316,104.12982802139037,99.07572494699649,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,10:00:00,63,99,2023-09-18 10:00:00,20.200000000000003,20.800000000000004,21.0,-0.36,123.09547078651684,104.2188587027027,98.85133743772246,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,10:30:00,18,27,2023-09-18 10:30:00,20.200000000000003,20.800000000000004,21.0,-0.99,123.35458149425287,104.21932923497268,98.64301681003585,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,11:00:00,190,36,2023-09-18 11:00:00,20.0,20.8,21.0,-1.54,123.47074670588235,103.81939740331491,98.39093732851988,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,11:30:00,320,72,2023-09-18 11:30:00,20.0,20.8,21.0,-1.97,123.52768819277108,103.51838044692737,98.07879963636366,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,12:00:00,190,130,2023-09-18 12:00:00,20.0,20.8,21.0,-2.23,123.44938728395061,103.32201542372883,97.92516062271065,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,12:30:00,90,360,2023-09-18 12:30:00,20.0,20.8,21.0,-2.31,123.28833468354428,103.13563,97.78365712177123,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,13:00:00,310,180,2023-09-18 13:00:00,20.0,20.8,21.0,-2.22,123.21481974025974,102.97542473988439,97.75377966542753,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,13:30:00,200,160,2023-09-18 13:30:00,20.2,21.0,21.2,-1.95,123.2119334666667,102.86637842105262,97.67722662921351,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,14:00:00,300,140,2023-09-18 14:00:00,20.4,21.2,21.4,-1.53,123.98781410958908,102.8365250295858,97.70142977358492,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,14:30:00,250,54,2023-09-18 14:30:00,20.599999999999998,21.4,21.599999999999998,-1.0,123.95156366197185,102.98409688622752,97.73282003802284,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,15:00:00,45,110,2023-09-18 15:00:00,20.6,21.400000000000002,21.6,-0.41,124.52783188405799,103.0809006060606,97.75458651340996,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
2023-09-18,16:00:00,18,54,2023-09-18 16:00:00,20.6,21.400000000000002,21.6,0.78,126.68589384615382,103.1814708695652,97.75562463035023,0.875,0.9166666666666666,0.9305555555555556,5.7725,5.683333333333334,5.179861111111112
